data,filename
abhisarga2k19-bop_til_you_drop_01,abhisarga2k19-boptilyoudrop01.svg
abhisarga2k19-pitchtrek_02,abhisarga2k19-pitchtrek02.svg
abhisarga2k19-foot_loose_03,abhisarga2k19-footloose03.svg
abhisarga2k19-de_maske_arte_04,abhisarga2k19-demaskearte04.svg
abhisarga2k19-sculpture_with_paper_05,abhisarga2k19-sculpturewithpaper05.svg
abhisarga2k19-pop_culture_trivia_06,abhisarga2k19-popculturetrivia06.svg
abhisarga2k19-cine_quiz_tollywood_07,abhisarga2k19-cinequiztollywood07.svg
abhisarga2k19-its_debatable_08,abhisarga2k19-itsdebatable08.svg
abhisarga2k19-counter_strike_09,abhisarga2k19-counterstrike09.svg
abhisarga2k19-dota_10,abhisarga2k19-dota10.svg
abhisarga2k19-pubg_11,abhisarga2k19-pubg11.svg
abhisarga2k19-short_reels_12,abhisarga2k19-shortreels12.svg
abhisarga2k19-lets_selfie_13,abhisarga2k19-letsselfie13.svg
abhisarga2k19-dub_star_14,abhisarga2k19-dubstar14.svg
abhisarga2k19-pixel_hunt_15,abhisarga2k19-pixelhunt15.svg
abhisarga2k19-be_an_ad_guru_16,abhisarga2k19-beanadguru16.svg
abhisarga2k19-treasures_of_el_diablo_17,abhisarga2k19-treasuresofeldiablo17.svg
abhisarga2k19-scavenger_hunt_18,abhisarga2k19-scavengerhunt18.svg
abhisarga2k19-gully_cricket_19,abhisarga2k19-gullycricket19.svg
abhisarga2k19-picky_palate_20,abhisarga2k19-pickypalate20.svg
abhisarga2k19-body_zorbing_21,abhisarga2k19-bodyzorbing21.svg
abhisarga2k19-pahal_22,abhisarga2k19-pahal22.svg
